statisticalID,name,partOf,code,physicalType
CT-162,TEPETH COUNTY,Location/308,ADMIN_STRUCTURE,Jurisdiction
CT-163,MOROTO MUNICIPALITY,Location/308,ADMIN_STRUCTURE,Jurisdiction
CT-164,WEST MOYO COUNTY,Location/309,ADMIN_STRUCTURE,Jurisdiction
CT-165,NEBBI MUNICIPALITY,Location/310,ADMIN_STRUCTURE,Jurisdiction
CT-166,PADYERE COUNTY,Location/310,ADMIN_STRUCTURE,Jurisdiction
CT-167,CHEKWII COUNTY ,Location/311,ADMIN_STRUCTURE,Jurisdiction
CT-168,CHEKWII EAST COUNTY,Location/311,ADMIN_STRUCTURE,Jurisdiction
CT-169,ARUU COUNTY,Location/312,ADMIN_STRUCTURE,Jurisdiction
CT-170,ARUU NORTH COUNTY,Location/312,ADMIN_STRUCTURE,Jurisdiction
CT-171,ARINGA COUNTY,Location/313,ADMIN_STRUCTURE,Jurisdiction
CT-172,ARINGA EAST COUNTY,Location/313,ADMIN_STRUCTURE,Jurisdiction
CT-173,ARINGA NORTH COUNTY,Location/313,ADMIN_STRUCTURE,Jurisdiction
CT-174,ARINGA SOUTH  COUNTY,Location/313,ADMIN_STRUCTURE,Jurisdiction
CT-175,LABWOR COUNTY,Location/314,ADMIN_STRUCTURE,Jurisdiction
CT-176,KIOGA COUNTY,Location/315,ADMIN_STRUCTURE,Jurisdiction
CT-177,KIOGA NORTH COUNTY,Location/315,ADMIN_STRUCTURE,Jurisdiction
CT-178,KILAK NORTH COUNTY,Location/316,ADMIN_STRUCTURE,Jurisdiction
CT-179,KILAK SOUTH COUNTY,Location/316,ADMIN_STRUCTURE,Jurisdiction
CT-180,DOKOLO NORTH COUNTY,Location/317,ADMIN_STRUCTURE,Jurisdiction
CT-181,DOKOLO SOUTH COUNTY,Location/317,ADMIN_STRUCTURE,Jurisdiction
CT-182,DODOTH EAST COUNTY,Location/318,ADMIN_STRUCTURE,Jurisdiction
CT-183,DODOTH NORTH COUNTY,Location/318,ADMIN_STRUCTURE,Jurisdiction
CT-184,IK COUNTY,Location/318,ADMIN_STRUCTURE,Jurisdiction
CT-185,KOBOKO COUNTY,Location/319,ADMIN_STRUCTURE,Jurisdiction
CT-186,KOBOKO NORTH COUNTY,Location/319,ADMIN_STRUCTURE,Jurisdiction
